Year,Board Code,Board Name,School Code,School Name,School Total
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,42,HANTS EAST RURAL HIGH SCHOOL  ,850
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,41,HANTS NORTH RURAL HIGH SCHOOL ,304
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,1145,HARMONY HEIGHTS ELEMENTARY SCHOOL   ,328
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,1100,HIGHLAND CONSOLIDATED MIDDLE SCHOOL ,266
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,15,HILDEN ELEMENTARY SCHOOL      ,109
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,661,JUNCTION ROAD ELEMENTARY SCHOOL     ,172
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,71
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,35,MAITLAND DISTRICT SCHOOL             ,32
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,949,MAPLE RIDGE ELEMENTARY SCHOOL ,274
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,633,NEW GLASGOW JUNIOR HIGH SCHOOL       ,353
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,5,NORTH COLCHESTER HIGH SCHOOL  ,217
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,988,NORTH NOVA EDUCATION CENTRE   ,836
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,9,NORTH RIVER ELEMENTARY SCHOOL ,250
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL  ,57
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,989,NORTHUMBERLAND REGIONAL HIGH SCHOOL,999
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,648,OXFORD REGIONAL ELEMENTARY SCHOOL   ,195
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,714,OXFORD REGIONAL HIGH SCHOOL         ,257
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,649,PARRSBORO REGIONAL ELEMENTARY SCHOOL ,175
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,715,PARRSBORO REGIONAL HIGH SCHOOL,229
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,650,PICTOU ACADEMY/DR.THOMAS MCCULLOCH SCHOOL,276
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,971,PICTOU ELEMENTARY SCHOOL      ,228
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,252,PUGWASH DISTRICT HIGH SCHOOL  ,272
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,39,RAWDON DISTRICT ELEMENTARY SCHOOL    ,122
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,916,REDCLIFF MIDDLE SCHOOL        ,455
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,240,RIVER HEBERT DISTRICT ELEMENTARY SCHOOL   ,117
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,251,RIVER HEBERT DISTRICT SCHOOL  ,98
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,435,RIVER JOHN CONSOLIDATED SCHOOL       ,71
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,923,RIVERSIDE EDUCATION CENTRE    ,616
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,441,SALT SPRINGS ELEMENTARY SCHOOL       ,75
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,4,SCOTSBURN ELEMENTARY SCHOOL   ,130
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,34,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL    ,128
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,992,SOUTH COLCHESTER ACADEMY      ,742
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,1105,SPRING STREET ACADEMY         ,479
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL ,334
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,1,TATAMAGOUCHE ELEMENTARY SCHOOL,185
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,636,TEMPERANCE STREET SCHOOL             ,133
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,428,THORBURN CONSOLIDATED SCHOOL  ,272
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,692,TRENTON ELEMENTARY SCHOOL     ,175
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,690,TRENTON MIDDLE SCHOOL         ,213
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,1146,TRURO ELEMENTARY SCHOOL       ,569
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,45,TRURO JUNIOR HIGH SCHOOL      ,533
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,40,UNIACKE DISTRICT SCHOOL       ,415
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,18,UPPER STEWIACKE ELEMENTARY SCHOOL   ,60
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,12,VALLEY ELEMENTARY SCHOOL      ,212
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL     ,92
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,3,WALTER DUGGAN CONSOLIDATED SCHOOL    ,435
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,229,WENTWORTH CONSOLIDATED ELEMENTARY SCHOOL ,25
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,29,WEST COLCHESTER CONSOLIDATED SCHOOL ,154
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,662,WEST END MEMORIAL SCHOOL      ,153
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,503,WEST HIGHLANDS ELEMENTARY SCHOOL     ,209
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,407,WEST PICTOU CONSOLIDATED SCHOOL      ,429
2009-2010,53,CHIGNECTO-CENTRAL REGIONAL    ,1148,WINDING RIVER CONSOLIDATED SCHOOL   ,256
2009-2010,54,HALIFAX REGIONAL              ,228,A. J. SMELTZER JUNIOR HIGH SCHOOL  ,278
2009-2010,54,HALIFAX REGIONAL              ,512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL  ,113
2009-2010,54,HALIFAX REGIONAL              ,513,ALDERNEY ELEMENTARY SCHOOL    ,99
2009-2010,54,HALIFAX REGIONAL              ,317,ASH LEE JEFFERSON ELEMENTARY SCHOOL,637
2009-2010,54,HALIFAX REGIONAL              ,739,ASTRAL DRIVE ELEMENTARY SCHOOL,476
2009-2010,54,HALIFAX REGIONAL              ,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,546
2009-2010,54,HALIFAX REGIONAL              ,425,ATLANTIC MEMORIAL-TERENCE BAY SCHOOL      ,252
2009-2010,54,HALIFAX REGIONAL              ,326,ATLANTIC VIEW ELEMENTARY SCHOOL    ,160
2009-2010,54,HALIFAX REGIONAL              ,97,AUBURN DRIVE HIGH SCHOOL      ,1088
2009-2010,54,HALIFAX REGIONAL              ,104,BASINVIEW DRIVE COMMUNITY SCHOOL    ,359
2009-2010,54,HALIFAX REGIONAL              ,752,BEAVER BANK MONARCH DRIVE ELEMENTARY SCHOOL,373
2009-2010,54,HALIFAX REGIONAL              ,304,BEAVER BANK-KINSAC ELEMENTARY SCHOOL,246
2009-2010,54,HALIFAX REGIONAL              ,268,BEDFORD AND FORSYTH EDUCATION CENTRES  ,232
2009-2010,54,HALIFAX REGIONAL              ,298,BEDFORD JUNIOR HIGH SCHOOL         ,398
2009-2010,54,HALIFAX REGIONAL              ,937,BEDFORD SOUTH SCHOOL          ,638
2009-2010,54,HALIFAX REGIONAL              ,291,BEECHVILLE LAKESIDE TIMBERLEA JUNIOR ELEMENTARY SCHOOL  ,734
2009-2010,54,HALIFAX REGIONAL              ,514,BEL AYR ELEMENTARY SCHOOL     ,237
2009-2010,54,HALIFAX REGIONAL              ,322,BELL PARK ACADEMIC CENTRE     ,282
2009-2010,54,HALIFAX REGIONAL              ,515,BICENTENNIAL SCHOOL           ,278
2009-2010,54,HALIFAX REGIONAL              ,519,BROOKHOUSE ELEMENTARY SCHOOL  ,321
2009-2010,54,HALIFAX REGIONAL              ,286,BROOKSIDE JUNIOR HIGH SCHOOL  ,385
2009-2010,54,HALIFAX REGIONAL              ,595,BURTON ETTINGER ELEMENTARY SCHOOL    ,316
2009-2010,54,HALIFAX REGIONAL              ,319,CALDWELL ROAD ELEMENTARY SCHOOL,308
2009-2010,54,HALIFAX REGIONAL              ,516,CALEDONIA JUNIOR HIGH SCHOOL  ,355
2009-2010,54,HALIFAX REGIONAL              ,312,CAUDLE PARK ELEMENTARY SCHOOL ,208
2009-2010,54,HALIFAX REGIONAL              ,743,CAVALIER DRIVE SCHOOL         ,412
2009-2010,54,HALIFAX REGIONAL              ,611,CENTRAL SPRYFIELD SCHOOL      ,153
2009-2010,54,HALIFAX REGIONAL              ,358,CHARLES P. ALLEN HIGH SCHOOL  ,1177
2009-2010,54,HALIFAX REGIONAL              ,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL   ,270
2009-2010,54,HALIFAX REGIONAL              ,1109,CITADEL HIGH SCHOOL           ,1377
2009-2010,54,HALIFAX REGIONAL              ,600,CLAYTON PARK JUNIOR HIGH SCHOOL     ,332
2009-2010,54,HALIFAX REGIONAL              ,352,COLBY VILLAGE ELEMENTARY SCHOOL      ,231
2009-2010,54,HALIFAX REGIONAL              ,357,COLE HARBOUR DISTRICT HIGH SCHOOL   ,1006
2009-2010,54,HALIFAX REGIONAL              ,339,COLONEL JOHN STUART ELEMENTARY SCHOOL,195
2009-2010,54,HALIFAX REGIONAL              ,517,CRICHTON PARK ELEMENTARY SCHOOL      ,231
2009-2010,54,HALIFAX REGIONAL              ,605,CUNARD JUNIOR HIGH SCHOOL     ,199
2009-2010,54,HALIFAX REGIONAL              ,518,DARTMOUTH HIGH SCHOOL         ,1025
2009-2010,54,HALIFAX REGIONAL              ,601,DUC D'ANVILLE ELEMENTARY SCHOOL      ,316
2009-2010,54,HALIFAX REGIONAL              ,328,DUNCAN MACMILLAN HIGH SCHOOL  ,216
2009-2010,54,HALIFAX REGIONAL              ,343,DUTCH SETTLEMENT ELEMENTARY SCHOOL  ,109
2009-2010,54,HALIFAX REGIONAL              ,283,EAST ST. MARGARET'S ELEMENTARY SCHOOL      ,52
2009-2010,54,HALIFAX REGIONAL              ,329,EASTERN CONSOLIDATED ELEMENTARY SCHOOL     ,12
2009-2010,54,HALIFAX REGIONAL              ,351,EASTERN PASSAGE EDUCATION CENTRE   ,460
2009-2010,54,HALIFAX REGIONAL              ,334,EASTERN SHORE DISTRICT HIGH SCHOOL ,565
2009-2010,54,HALIFAX REGIONAL              ,614,ELIZABETH SUTHERLAND SCHOOL   ,296
2009-2010,54,HALIFAX REGIONAL              ,538,ELLENVALE JUNIOR HIGH SCHOOL  ,427
2009-2010,54,HALIFAX REGIONAL              ,564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL  ,206
2009-2010,54,HALIFAX REGIONAL              ,599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL  ,254
2009-2010,54,HALIFAX REGIONAL              ,578,FAIRVIEW JUNIOR HIGH SCHOOL   ,379
2009-2010,54,HALIFAX REGIONAL              ,288,FIVE BRIDGES JUNIOR HIGH SCHOOL     ,568
2009-2010,54,HALIFAX REGIONAL              ,356,GAETZ BROOK JUNIOR HIGH SCHOOL,347
2009-2010,54,HALIFAX REGIONAL              ,731,GEORGE BISSETT ELEMENTARY SCHOOL   ,154
2009-2010,54,HALIFAX REGIONAL              ,314,GEORGES P. VANIER JUNIOR HIGH SCHOOL,441
2009-2010,54,HALIFAX REGIONAL              ,350,GERTRUDE M. PARKER ELEMENTARY SCHOOL ,269
2009-2010,54,HALIFAX REGIONAL              ,568,GORSEBROOK JUNIOR HIGH SCHOOL ,193
2009-2010,54,HALIFAX REGIONAL              ,318,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL  ,390
2009-2010,54,HALIFAX REGIONAL              ,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL ,410
2009-2010,54,HALIFAX REGIONAL              ,567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,216
2009-2010,54,HALIFAX REGIONAL              ,8054,HALIFAX DSEPS                 ,104
2009-2010,54,HALIFAX REGIONAL              ,592,HALIFAX WEST HIGH SCHOOL      ,1460
2009-2010,54,HALIFAX REGIONAL              ,306,HAMMONDS PLAINS CONSOLIDATED SCHOOL ,572
2009-2010,54,HALIFAX REGIONAL              ,521,HARBOUR VIEW ELEMENTARY SCHOOL,244
2009-2010,54,HALIFAX REGIONAL              ,740,HAROLD T. BARRETT JUNIOR HIGH SCHOOL,163
2009-2010,54,HALIFAX REGIONAL              ,296,HARRIETSFIELD ELEMENTARY SCHOOL      ,181
2009-2010,54,HALIFAX REGIONAL              ,313,HARRY R. HAMILTON ELEMENTARY SCHOOL ,485
2009-2010,54,HALIFAX REGIONAL              ,522,HAWTHORN ELEMENTARY SCHOOL    ,198
2009-2010,54,HALIFAX REGIONAL              ,293,HERRING COVE JUNIOR HIGH SCHOOL      ,283
2009-2010,54,HALIFAX REGIONAL              ,571,HIGHLAND PARK JUNIOR HIGH SCHOOL     ,135
2009-2010,54,HALIFAX REGIONAL              ,310,HILLSIDE PARK ELEMENTARY SCHOOL      ,211
2009-2010,54,HALIFAX REGIONAL              ,747,HOLLAND ROAD ELEMENTARY SCHOOL,333
2009-2010,54,HALIFAX REGIONAL              ,327,HUMBER PARK ELEMENTARY SCHOOL ,229
2009-2010,54,HALIFAX REGIONAL              ,523,IAN FORSYTH ELEMENTARY SCHOOL ,346
2009-2010,54,HALIFAX REGIONAL              ,579,INGLIS STREET ELEMENTARY SCHOOL      ,201
2009-2010,54,HALIFAX REGIONAL              ,619,J. L. ILSLEY HIGH SCHOOL      ,770
2009-2010,54,HALIFAX REGIONAL              ,539,JOHN MACNEIL ELEMENTARY SCHOOL,183
2009-2010,54,HALIFAX REGIONAL              ,524,JOHN MARTIN JUNIOR HIGH SCHOOL,205
2009-2010,54,HALIFAX REGIONAL              ,607,JOHN W. MACLEOD-FLEMING TOWER ELEMENTARY SCHOOL ,335
2009-2010,54,HALIFAX REGIONAL              ,354,JOSEPH GILES ELEMENTARY SCHOOL,291
2009-2010,54,HALIFAX REGIONAL              ,569,JOSEPH HOWE ELEMENTARY SCHOOL ,111
2009-2010,54,HALIFAX REGIONAL              ,1103,KINGSWOOD ELEMENTARY SCHOOL   ,596
2009-2010,54,HALIFAX REGIONAL              ,330,LAKEFRONT CONSOLIDATED ELEMENTARY SCHOOL   ,32
2009-2010,54,HALIFAX REGIONAL              ,338,LAKEVIEW CONSOLIDATED SCHOOL        ,355
2009-2010,54,HALIFAX REGIONAL              ,587,LEMARCHANT-ST. THOMAS ELEMENTARY SCHOOL    ,345
2009-2010,54,HALIFAX REGIONAL              ,353,LESLIE THOMAS JUNIOR HIGH SCHOOL   ,343
2009-2010,54,HALIFAX REGIONAL              ,968,LOCKVIEW HIGH SCHOOL          ,1270
2009-2010,54,HALIFAX REGIONAL              ,939,MADELINE SYMONDS MIDDLE SCHOOL,681
2009-2010,54,HALIFAX REGIONAL              ,526,MICHAEL WALLACE ELEMENTARY SCHOOL    ,250
2009-2010,54,HALIFAX REGIONAL              ,748,MILLWOOD ELEMENTARY SCHOOL    ,447
2009-2010,54,HALIFAX REGIONAL              ,745,MILLWOOD HIGH SCHOOL          ,620
2009-2010,54,HALIFAX REGIONAL              ,527,MOUNT EDWARD ELEMENTARY SCHOOL,187
2009-2010,54,HALIFAX REGIONAL              ,1149,MUSQUODOBOIT RURAL HIGH SCHOOL,352
2009-2010,54,HALIFAX REGIONAL              ,348,MUSQUODOBOIT VALLEY EDUCATION CENTRE ,164
2009-2010,54,HALIFAX REGIONAL              ,324,NELSON WHYNDER ELEMENTARY SCHOOL     ,86
2009-2010,54,HALIFAX REGIONAL              ,56,OCEAN VIEW ELEMENTARY SCHOOL  ,304
2009-2010,54,HALIFAX REGIONAL              ,131,O'CONNELL DRIVE ELEMENTARY SCHOOL   ,390
2009-2010,54,HALIFAX REGIONAL              ,315,OLDFIELD CONSOLIDATED SCHOOL  ,132
2009-2010,54,HALIFAX REGIONAL              ,572,OXFORD SCHOOL                 ,331
2009-2010,54,HALIFAX REGIONAL              ,1141,OYSTER POND ACADEMY           ,512
2009-2010,54,HALIFAX REGIONAL              ,970,PARK WEST SCHOOL              ,762
2009-2010,54,HALIFAX REGIONAL              ,969,PORTLAND ESTATES ELEMENTARY SCHOOL   ,369
2009-2010,54,HALIFAX REGIONAL              ,533,PRINCE ANDREW HIGH SCHOOL     ,1066
2009-2010,54,HALIFAX REGIONAL              ,532,PRINCE ARTHUR JUNIOR HIGH SCHOOL     ,402
2009-2010,54,HALIFAX REGIONAL              ,282,PROSPECT ROAD ELEMENTARY SCHOOL     ,278
2009-2010,54,HALIFAX REGIONAL              ,938,RIDGECLIFF MIDDLE SCHOOL      ,510
2009-2010,54,HALIFAX REGIONAL              ,359,ROBERT K. TURNER ELEMENTARY SCHOOL   ,161
2009-2010,54,HALIFAX REGIONAL              ,603,ROCKINGHAM ELEMENTARY SCHOOL  ,368
2009-2010,54,HALIFAX REGIONAL              ,609,ROCKINGSTONE HEIGHTS SCHOOL   ,267
2009-2010,54,HALIFAX REGIONAL              ,321,ROSS ROAD SCHOOL              ,352
2009-2010,54,HALIFAX REGIONAL              ,309,SACKVILLE CENTENNIAL ELEMENTARY SCHOOL    ,107
2009-2010,54,HALIFAX REGIONAL              ,311,SACKVILLE HEIGHTS ELEMENTARY SCHOOL,317
2009-2010,54,HALIFAX REGIONAL              ,303,SACKVILLE HEIGHTS JUNIOR HIGH SCHOOL ,579
2009-2010,54,HALIFAX REGIONAL              ,297,SACKVILLE HIGH SCHOOL         ,908
2009-2010,54,HALIFAX REGIONAL              ,581,SAINT MARY'S ELEMENTARY SCHOOL,117
2009-2010,54,HALIFAX REGIONAL              ,295,SAMBRO ELEMENTARY SCHOOL      ,106
2009-2010,54,HALIFAX REGIONAL              ,941,SEASIDE ELEMENTARY SCHOOL     ,355
2009-2010,54,HALIFAX REGIONAL              ,534,SHANNON PARK ELEMENTARY SCHOOL,583
2009-2010,54,HALIFAX REGIONAL              ,287,SHATFORD MEMORIAL ELEMENTARY SCHOOL  ,78
2009-2010,54,HALIFAX REGIONAL              ,332,SHEET HARBOUR CONSOLIDATED SCHOOL    ,139
2009-2010,54,HALIFAX REGIONAL              ,589,SIR CHARLES TUPPER SCHOOL     ,293
2009-2010,54,HALIFAX REGIONAL              ,277,SIR JOHN A. MACDONALD HIGH SCHOOL   ,949
2009-2010,54,HALIFAX REGIONAL              ,320,SIR ROBERT BORDEN JUNIOR HIGH SCHOOL ,258
2009-2010,54,HALIFAX REGIONAL              ,355,SMOKEY DRIVE ELEMENTARY SCHOOL,232
2009-2010,54,HALIFAX REGIONAL              ,535,SOUTH WOODSIDE SCHOOL         ,153
2009-2010,54,HALIFAX REGIONAL              ,540,SOUTHDALE-NORTH WOODSIDE SCHOOL      ,320
2009-2010,54,HALIFAX REGIONAL              ,593,SPRINGVALE ELEMENTARY SCHOOL  ,254
2009-2010,54,HALIFAX REGIONAL              ,575,ST. AGNES JUNIOR HIGH SCHOOL  ,288
2009-2010,54,HALIFAX REGIONAL              ,577,ST. CATHERINE'S ELEMENTARY SCHOOL,329
2009-2010,54,HALIFAX REGIONAL              ,580,ST. JOSEPH'S-ALEXANDER MCKAY ELEMENTARY SCHOOL ,244
2009-2010,54,HALIFAX REGIONAL              ,940,ST. MARGARET'S BAY ELEMENTARY SCHOOL,398
2009-2010,54,HALIFAX REGIONAL              ,583,ST. PATRICK'S-ALEXANDRA SCHOOL       ,83
2009-2010,54,HALIFAX REGIONAL              ,586,ST. STEPHEN'S ELEMENTARY SCHOOL      ,208
2009-2010,54,HALIFAX REGIONAL              ,299,SUNNYSIDE ELEMENTARY SCHOOL   ,552
2009-2010,54,HALIFAX REGIONAL              ,307,SYCAMORE LANE ELEMENTARY SCHOOL     ,249
2009-2010,54,HALIFAX REGIONAL              ,85,TALLAHASSEE COMMUNITY SCHOOL  ,420
2009-2010,54,HALIFAX REGIONAL              ,284,TANTALLON SENIOR ELEMENTARY SCHOOL  ,738
2009-2010,54,HALIFAX REGIONAL              ,349,UPPER MUSQUODOBOIT CONSOLIDATED ELEMENTARY SCHOOL  ,56
2009-2010,54,HALIFAX REGIONAL              ,316,WAVERLEY MEMORIAL-L. C. SKERRY SCHOOL,162
2009-2010,54,HALIFAX REGIONAL              ,591,WESTMOUNT ELEMENTARY SCHOOL   ,363
2009-2010,54,HALIFAX REGIONAL              ,294,WILLIAM KING ELEMENTARY SCHOOL,264
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,63,ALDERSHOT ELEMENTARY SCHOOL   ,333
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,746,ANNAPOLIS EAST ELEMENTARY SCHOOL     ,508
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,706,ANNAPOLIS ROYAL REGIONAL ACADEMY   ,193
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,8055,ANNAPOLIS VALLEY DSEPS        ,9
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,133,ANNAPOLIS WEST EDUCATION CENTRE ,296
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,993,AVON VIEW HIGH SCHOOL         ,812
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,75,BERWICK AND DISTRICT SCHOOL   ,393
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,507,BRIDGETOWN REGIONAL ELEMENTARY SCHOOL,180
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,708,BRIDGETOWN REGIONAL HIGH SCHOOL    ,386
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,363,BROOKLYN DISTRICT ELEMENTARY SCHOOL  ,347
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,58,CAMBRIDGE AND DISTRICT ELEMENTARY SCHOOL  ,244
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,67,CENTRAL KINGS RURAL HIGH SCHOOL      ,803
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,965,CHAMPLAIN ELEMENTARY SCHOOL   ,199
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,141,CLARK RUTHERFORD MEMORIAL SCHOOL     ,141
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,732,COLDBROOK AND DISTRICT SCHOOL ,537
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,366,DR. ARTHUR HINES ELEMENTARY SCHOOL   ,137
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,65,DWIGHT ROSS SCHOOL            ,203
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,753,EVANGELINE MIDDLE SCHOOL      ,321
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,362,FALMOUTH DISTRICT SCHOOL      ,242
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,60,GASPEREAU VALLEY ELEMENTARY SCHOOL   ,179
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,59,GLOOSCAP ELEMENTARY SCHOOL    ,246
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,24,HANTSPORT SCHOOL              ,210
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,998,HIGHBURY EDUCATION CENTRE     ,21
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,70,HORTON HIGH SCHOOL            ,989
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,76,KINGS COUNTY ACADEMY          ,579
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,379,KINGS COUNTY ADULT HIGH SCHOOL,48
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,62,KINGSTON & DISTRICT SCHOOL    ,460
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,61,L. E. SHAW ELEMENTARY SCHOOL  ,149
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,129,LAWRENCETOWN CONSOLIDATED SCHOOL,158
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,1108,LAWRENCETOWN EDUCATION CENTRE ,27
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,712,MIDDLETON REGIONAL HIGH SCHOOL       ,640
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,73,NEW MINAS ELEMENTARY SCHOOL   ,356
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,364,NEWPORT STATION DISTRICT SCHOOL,93
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,967,NORTHEAST KINGS EDUCATION CENTRE   ,1080
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,966,PINE RIDGE MIDDLE SCHOOL      ,464
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,72,PORT WILLIAMS ELEMENTARY SCHOOL     ,250
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,55,SOMERSET AND DISTRICT ELEMENTARY SCHOOL    ,179
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,54,ST. MARY'S ELEMENTARY SCHOOL  ,187
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,360,THREE MILE PLAINS DISTRICT SCHOOL    ,154
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,1110,WEST HANTS EDUCATION CENTRE   ,19
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,994,WEST HANTS MIDDLE SCHOOL      ,619
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,71,WEST KINGS DISTRICT HIGH SCHOOL     ,696
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,376,WINDSOR ADULT HIGH SCHOOL     ,24
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,699,WINDSOR ELEMENTARY SCHOOL     ,196
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,361,WINDSOR FORKS DISTRICT SCHOOL ,165
2009-2010,55,ANNAPOLIS VALLEY REGIONAL     ,81,WOLFVILLE SCHOOL              ,423
2009-2010,57,ACADIEN PROVINCIAL            ,387,CENTRE SCOLAIRE ETOILE DE L'ACADIE,249
2009-2010,57,ACADIEN PROVINCIAL            ,145,ECOLE ACADIENNE DE POMQUET    ,241
2009-2010,57,ACADIEN PROVINCIAL            ,433,ECOLE ACADIENNE DE TRURO      ,168
2009-2010,57,ACADIEN PROVINCIAL            ,947,ECOLE BEAUBASSIN              ,583
2009-2010,57,ACADIEN PROVINCIAL            ,982,ECOLE BEAU-PORT               ,253
2009-2010,57,ACADIEN PROVINCIAL            ,744,ECOLE BELLEVILLE              ,149
2009-2010,57,ACADIEN PROVINCIAL            ,948,ECOLE BOIS-JOLI               ,449
2009-2010,57,ACADIEN PROVINCIAL            ,434,ECOLE DE LA RIVE-SUD          ,124
2009-2010,57,ACADIEN PROVINCIAL            ,68,ECOLE DU CARREFOUR            ,489
2009-2010,57,ACADIEN PROVINCIAL            ,218,ECOLE JEAN-MARIE-GAY          ,109
2009-2010,57,ACADIEN PROVINCIAL            ,217,ECOLE JOSEPH-DUGAS            ,154
2009-2010,57,ACADIEN PROVINCIAL            ,378,ECOLE NDA                     ,213
