Year,Board Code,Board Name,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mailing Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,923,RIVERSIDE EDUCATION CENTRE,6 RIVERSIDE DR,MILFORD NS,B0N 1Y0,,,,9027584660,9027584666,GATTOSC@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,441,SALT SPRINGS ELEMENTARY SCHOOL,2080 WEST RIVER STN RD,PICTOU NS,B0K 1P0,,,,9029256000,9029256006,NELSONRD@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,4,SCOTSBURN ELEMENTARY SCHOOL,4100 SCOTSBURN RD,SCOTSBURN NS,B0K 1R0,,,,9024857980,9024857981,FORTUNEM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,34,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL,54 MILL VILLAGE RD,SHUBENACADIE NS,B0N 2H0,,,,9027584600,9027584608,NODDINM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,992,SOUTH COLCHESTER ACADEMY,207 HWY 289,BROOKFIELD NS,B0N 1C0,,,,9026735000,9026735005,ARMSTRONGS@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1105,SPRING STREET ACADEMY,59 SPRING ST,AMHERST NS,B4H 1S4,,,,9026612499,9026612431,JANESH@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL,84 CHURCH ST,SPRINGHILL NS,B0M 1X0,84 CHURCH ST,SPRINGHILL NS,B0M 1X0,9025974250,9025974251,CONRONB@CCRSB.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1195,TATAMAGOUCHE REGIONAL ACADEMY,92 BLAIR AVE,TATAMAGOUCHE NS,B0K 1V0,,,,9026576235,9026576210,HOLMESB@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,428,THORBURN CONSOLIDATED SCHOOL,13 NEW ROW,THORBURN NS,B0K 1W0,13 NEW ROW,THORBURN NS,B0K 1W0,9029223840,9029223844,SMITHLS@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,692,TRENTON ELEMENTARY SCHOOL,1 SIXTH ST,TRENTON NS,B0K 1X0,,,,9027558460,9027558466,WASHBURNMD@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,690,TRENTON MIDDLE SCHOOL,PO BOX 10,TRENTON NS,B0K 1X0,37 DICKIE ST,TRENTON NS,B0K 1X0,9027558440,9027558444,MACDONALDOS@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1146,TRURO ELEMENTARY SCHOOL,125 CURTIS DR,TRURO NS,B2N 0C5,,,,9028965755,9028965786,LYNDSJN@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,45,TRURO JUNIOR HIGH SCHOOL,445 YOUNG ST,TRURO NS,B2N 7H9,,,,9028965550,9028965559,MACLEANAM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,40,UNIACKE DISTRICT SCHOOL,551 HWY 1,MOUNT UNIACKE NS,B0N 1Z0,,,,9028665100,9028665101,PEVERILMF@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,18,UPPER STEWIACKE ELEMENTARY SCHOOL,5327 HWY 289,UPPER STEWIACKE NS,B0N 2P0,,,,9026713000,9026713002,TAITKA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,12,VALLEY ELEMENTARY SCHOOL,96 SALMON RIVER RD,VALLEY NS,B6L 2S5,,,,9028965540,9028965544,WALLK@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL,3853 HWY 307,WALLACE NS,B0K 1Y0,,,,9022576100,9022576102,DORNDG@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,3,WALTER DUGGAN CONSOLIDATED SCHOOL,2370 SPRING GARDEN RD,WESTVILLE NS,B0K 2A0,,,,9023962700,9023962707,SLATERA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,29,WEST COLCHESTER CONSOLIDATED SCHOOL,27 MAPLE AVE,BASS RIVER NS,B0M 1B0,,,,9026473500,9026473505,OAKLEYC@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,662,WEST END MEMORIAL SCHOOL,77 MCGEE ST,SPRINGHILL NS,B0M 1X0,77 MCGEE ST,SPRINGHILL NS,B0M 1X0,9025974242,9025974248,HOARP@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1190,WEST HIGHLANDS ELEMENTARY SCHOOL,18 MALTBY CRT,AMHERST NS,B4H 2L6,,,,9026612420,9026612440,BATEMANSL@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,407,WEST PICTOU CONSOLIDATED SCHOOL,1999 HWY 376,PICTOU NS,B0K 1H0,,,,9024857960,9024857966,TURNERCA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1148,WINDING RIVER CONSOLIDATED SCHOOL,PO BOX 249,STEWIACKE NS,B0N 2J0,272 KITCHENER ST,STEWIACKE NS,B0N 2J0,9026393199,9026393196,COXBL@CCRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,228,A. J. SMELTZER JUNIOR HIGH SCHOOL,46 PRINCE ST,LOWER SACKVILLE NS,B4C 1L1,,,,9028646846,9028646852,AJS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL,6 FOURTH ST,DARTMOUTH NS,B2X 3A5,,,,9024358305,9024351749,AWES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,513,ALDERNEY ELEMENTARY SCHOOL,2 PENHORN DR,DARTMOUTH NS,B2Y 3K1,,,,9024642040,9024642686,ALDERNEY@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,317,ASH LEE JEFFERSON ELEMENTARY SCHOOL,10 LOCKVIEW RD,FALL RIVER NS,B2T 1J1,,,,9028604163,9028604191,ALJS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,739,ASTRAL DRIVE ELEMENTARY SCHOOL,236 ASTRAL DR,DARTMOUTH NS,B2V 1B8,,,,9024628500,9024628600,ADE@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,238 ASTRAL DR,DARTMOUTH NS,B2V 1B8,,,,9024628700,9024626047,ADJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,425,ATLANTIC MEMORIAL-TERENCE BAY ELEMENTARY SCHOOL,3591 PROSPECT RD,SHAD BAY NS,B3T 1Z3,,,,9028522166,9028525514,AMTB@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,326,ATLANTIC VIEW ELEMENTARY SCHOOL,3391 LAWRENCETOWN RD,LAWRENCETOWN NS,B2Z 1R5,,,,9024645245,9024645246,ATVS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,97,AUBURN DRIVE HIGH SCHOOL,300 AUBURN DR,DARTMOUTH NS,B2W 6E9,,,,9024626900,9024626950,ADHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,104,BASINVIEW DRIVE COMMUNITY SCHOOL,273 BASINVIEW DR,BEDFORD NS,B4A 3X8,,,,9028328450,9028328461,BDCS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,304,BEAVER BANK-KINSAC ELEMENTARY SCHOOL,28 KINSAC RD,BEAVER BANK NS,B4G 1C5,,,,9028646805,9028646809,BBKS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,752,BEAVER BANK-MONARCH DRIVE ELEMENTARY SCHOOL,38 MONARCH DR,BEAVER BANK NS,B4E 3A5,,,,9028647540,9028647543,BBMON@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,268,BEDFORD AND FORSYTH EDUCATION CENTRES,426 ROCKY LAKE DR,BEDFORD NS,B4A 2T5,,,,9028328630,9028328409,BFEC@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,937,BEDFORD SOUTH SCHOOL,2 OCEANVIEW DR,BEDFORD NS,B4A 4J6,,,,9028325800,9028325805,BEDFORDS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,291,BEECHVILLE LAKESIDE TIMBERLEA JUNIOR ELEMENTARY SCHOOL,22 JAMES ST,TIMBERLEA NS,B3T 1G9,,,,9028763236,9028763238,BLTJR@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,290,BEECHVILLE LAKESIDE TIMBERLEA SENIOR ELEMENTARY SCHOOL,24 JAMES ST,TIMBERLEA NS,B3T 1G9,,,,9028763230,9028767909,BLT@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,514,BEL AYR ELEMENTARY SCHOOL,4 BELL ST,DARTMOUTH NS,B2W 2P3,,,,9024358353,9024358373,BELAYR@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,322,BELL PARK ACADEMIC CENTRE,4 THOMAS ST,LAKE ECHO NS,B3E 1M6,,,,9028292388,9028292402,BPAC@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,515,BICENTENNIAL SCHOOL,85 VICTORIA RD,DARTMOUTH NS,B3A 1T9,,,,9024642094,9024642098,BICENT@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,519,BROOKHOUSE ELEMENTARY SCHOOL,15 CHRISTOPHER AVE,DARTMOUTH NS,B2W 3G2,,,,9024358318,9024358323,BES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,286,BROOKSIDE JUNIOR HIGH SCHOOL,2239 PROSPECT RD,HATCHET LAKE NS,B3T 1R8,,,,9028522062,9028525530,BJHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,595,BURTON ETTINGER ELEMENTARY SCHOOL,52 ALEX ST,HALIFAX NS,B3N 2W4,,,,9024578922,9024578928,BEES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,319,CALDWELL ROAD ELEMENTARY SCHOOL,280 CALDWELL RD,DARTMOUTH NS,B2V 1A3,,,,9024626010,9024626017,CRES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,516,CALEDONIA JUNIOR HIGH SCHOOL,38 CALEDONIA RD,DARTMOUTH NS,B2X 1K8,,,,9024358413,9024358425,CJHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,312,CAUDLE PARK ELEMENTARY SCHOOL,35 MCGEE DR,LOWER SACKVILLE NS,B4C 2J1,,,,9028646864,9028646896,CPES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,743,CAVALIER DRIVE SCHOOL,116 CAVALIER DR,LOWER SACKVILLE NS,B4C 3L9,,,,9028647524,9028647554,CDS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,611,CENTRAL SPRYFIELD SCHOOL,364 HERRING COVE RD,HALIFAX NS,B3R 1V8,,,,9024794286,9024794295,CSES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1183,CHARLES P. ALLEN HIGH SCHOOL,200 INNOVATION DR,BEDFORD NS,B4B 0G4,,,,9028328964,9028328981,CPAH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL,230 COWIE HILL RD,HALIFAX NS,B3P 2M3,,,,9024794298,9024794408,CHES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1109,CITADEL HIGH SCHOOL,1855 TROLLOPE ST,HALIFAX NS,B3H 0A4,,,,9024914444,9024911700,CHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,600,CLAYTON PARK JUNIOR HIGH SCHOOL,45 PLATEAU CRES,HALIFAX NS,B3M 2V7,,,,9024578930,9024571646,CPJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,352,COLBY VILLAGE ELEMENTARY SCHOOL,92 COLBY DR,DARTMOUTH NS,B2V 1J7,,,,9024645152,9024645154,CVES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,357,COLE HARBOUR DISTRICT HIGH SCHOOL,2 CHAMEAU CRES,COLE HARBOUR NS,B2W 4X4,,,,9024645220,9024645241,CHDHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,339,COLONEL JOHN STUART ELEMENTARY SCHOOL,5 JOHN STEWART DR,COLE HARBOUR NS,B2W 4J7,,,,9024645200,9024645247,CJSES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,517,CRICHTON PARK ELEMENTARY SCHOOL,49 LYNGBY AVE,DARTMOUTH NS,B3A 3V1,,,,9024642503,9024642770,CRICHTON@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,605,CUNARD JUNIOR HIGH SCHOOL,121 WILLIAMS LAKE RD,HALIFAX NS,B3P 1T6,,,,9024794418,9024794425,CUNARD@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,518,DARTMOUTH HIGH SCHOOL,95 VICTORIA RD,DARTMOUTH NS,B3A 1V2,,,,9024642457,9024642384,DHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1193,DARTMOUTH SOUTH ACADEMY,111 PRINCE ARTHUR AVE,DARTMOUTH NS,B2Y 3T3,,,,9024642081,9024610199,DSA@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,601,DUC D'ANVILLE ELEMENTARY SCHOOL,12 CLAYTON PARK DR,HALIFAX NS,B3M 1L3,,,,9024578940,9024578945,DDES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,328,DUNCAN MACMILLAN HIGH SCHOOL,481 CHURCH POINT RD,SHEET HARBOUR NS,B0J 3B0,,,,9028852777,9028852790,DMHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,343,DUTCH SETTLEMENT ELEMENTARY SCHOOL,990 HWY 277,DUTCH SETTLEMENT NS,B2S 2J5,,,,9028833000,9028833001,DSES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,283,EAST ST. MARGARET'S ELEMENTARY SCHOOL,8671 PEGGY'S COVE RD,INDIAN HARBOUR NS,B3Z 3P5,,,,9028232463,9028232232,ESTM@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,351,EASTERN PASSAGE EDUCATION CENTRE,93 SAMUEL DANIAL DR,EASTERN PASSAGE NS,B3G 1P7,,,,9024628401,9024628403,EPEC@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,334,EASTERN SHORE DISTRICT HIGH SCHOOL,35 WEST PETPESWICK RD,MUSQUODOBOIT HARBOUR NS,B0J 2L0,,,,9028894025,9028894037,ESDH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,614,ELIZABETH SUTHERLAND SCHOOL,66 ROCKINGSTONE RD,HALIFAX NS,B3R 2C9,,,,9024794427,9024794430,ESS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,538,ELLENVALE JUNIOR HIGH SCHOOL,88 BELLE VISTA DR,DARTMOUTH NS,B2W 2X7,,,,9024358420,9024358469,EJHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL,70 DOROTHEA DR,DARTMOUTH NS,B2W 4M3,,,,9024358325,9024358379,EGMJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL,210 CORONATION AVE,HALIFAX NS,B3N 2N3,,,,9024578953,9024578957,FHES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,578,FAIRVIEW JUNIOR HIGH SCHOOL,155 ROSEDALE AVE,HALIFAX NS,B3N 2K2,,,,9024578960,9024578963,FVJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,288,FIVE BRIDGES JUNIOR HIGH SCHOOL,66 HUBLEY RD,HUBLEY NS,B3Z 1B9,,,,9028762026,9028767177,FBJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,356,GAETZ BROOK JUNIOR HIGH SCHOOL,6856 HWY 7,HEAD OF CHEZZETCOOK NS,B0J 1N0,,,,9028274666,9028275430,GBJHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,731,GEORGE BISSETT ELEMENTARY SCHOOL,170 ARKLOW DR,DARTMOUTH NS,B2W 4R6,,,,9024645184,9024645187,GBES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,314,GEORGES P. VANIER JUNIOR HIGH SCHOOL,1410 FALL RIVER RD,FALL RIVER NS,B2T 1J1,,,,9028604182,9028604188,VANIER@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,568,GORSEBROOK JUNIOR HIGH SCHOOL,5966 SOUTH ST,HALIFAX NS,B3H 1S6,,,,9024216758,9024212709,GJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,318,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL,72 CHERRY BROOK RD,CHERRY BROOK NS,B2Z 1A8,,,,9024645164,9024645173,GCJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL,4 DOWNING ST,HALIFAX NS,B3M 2G4,,,,9024578422,9024578430,GWP@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,1787 PRESTON ST,HALIFAX NS,B3H 3V7,,,,9024216777,9024212868,CENTRAL@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,592,HALIFAX WEST HIGH SCHOOL,283 THOMAS RADDALL DR,HALIFAX NS,B3S 1R1,,,,9024578900,9024578980,HWHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,306,HAMMONDS PLAINS CONSOLIDATED SCHOOL,2180 HAMMONDS PLAINS RD,HAMMONDS PLAINS NS,B4B 1M5,,,,9028328412,9028328420,HPCS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,521,HARBOUR VIEW ELEMENTARY SCHOOL,25 ALFRED ST,DARTMOUTH NS,B3A 4E8,,,,9024642051,9024642282,HVES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,740,HAROLD T. BARRETT JUNIOR HIGH SCHOOL,862 BEAVER BANK RD,BEAVER BANK NS,B4G 1A9,,,,9028647500,9028647502,HTBAR@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,296,HARRIETSFIELD ELEMENTARY SCHOOL,1150 OLD SAMBRO RD,HARRIETSFIELD NS,B3V 1B1,,,,9024794230,9024794235,HES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,313,HARRY R. HAMILTON ELEMENTARY SCHOOL,40 HAMILTON DR,MIDDLE SACKVILLE NS,B4E 3A9,,,,9028646815,9028646820,HRH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,522,HAWTHORN ELEMENTARY SCHOOL,10 HAWTHORNE ST,DARTMOUTH NS,B2Y 2Y3,,,,9024642048,9024642799,HAWTHORN@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,293,HERRING COVE JUNIOR HIGH SCHOOL,7 LANCASTER DR,HERRING COVE NS,B3V 1H9,,,,9024794214,9024793379,HCJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,571,HIGHLAND PARK JUNIOR HIGH SCHOOL,3479 ROBIE ST,HALIFAX NS,B3K 4S4,,,,9024935124,9024935130,HPJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,310,HILLSIDE PARK ELEMENTARY SCHOOL,15 HILLSIDE AVE,LOWER SACKVILLE NS,B4C 1W6,,,,9028646873,9028646878,HPES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,747,HOLLAND ROAD ELEMENTARY SCHOOL,181 HOLLAND RD,FLETCHERS LAKE NS,B2T 1A1,,,,9028604170,9028604173,HRES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,327,HUMBER PARK ELEMENTARY SCHOOL,5 SMALLWOOD AVE,DARTMOUTH NS,B2W 3R6,,,,9024645177,9024645182,HPS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,523,IAN FORSYTH ELEMENTARY SCHOOL,22 GLENCOE DR,DARTMOUTH NS,B2X 1J1,,,,9024358435,9024358365,IFES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,579,INGLIS STREET ELEMENTARY SCHOOL,5985 INGLIS ST,HALIFAX NS,B3H 1K7,,,,9024216767,9024213028,ISES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1196,ISLAND VIEW HIGH SCHOOL,1853 CALDWELL RD,EASTERN PASSAGE NS,B2G 1J4,,,,9024666341,9024666348,IVH@HRSB.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,619,J. L. ILSLEY HIGH SCHOOL,38 SYLVIA AVE,HALIFAX NS,B3R 1J9,,,,9024794612,9024794635,JLI@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,539,JOHN MACNEIL ELEMENTARY SCHOOL,62 LEAMAN DR,DARTMOUTH NS,B3A 2K9,,,,9024642488,9024642616,JMES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,524,JOHN MARTIN JUNIOR HIGH SCHOOL,7 BRULE ST,DARTMOUTH NS,B3A 4G2,,,,9024642408,9024642062,JMJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,607,JOHN W. MACLEOD-FLEMING TOWER ELEMENTARY SCHOOL,159 PURCELL'S COVE RD,HALIFAX NS,B3P 1B7,,,,9024794437,9024794442,JWM@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,354,JOSEPH GILES ELEMENTARY SCHOOL,54 GREGORY DR,DARTMOUTH NS,B2W 3M6,,,,9024645192,9024645197,JGES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,569,JOSEPH HOWE ELEMENTARY SCHOOL,2557 MAYNARD ST,HALIFAX NS,B3K 3V6,,,,9024216785,9024218744,JHOWE@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1103,KINGSWOOD ELEMENTARY SCHOOL,34 VREGE CRT,HAMMONDS PLAINS NS,B4B 1K2,,,,9028325522,9028325524,KWE@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,330,LAKEFRONT CONSOLIDATED ELEMENTARY SCHOOL,17286 HWY 7,TANGIER NS,B0J 3H0,,,,9027722195,9027722850,LCS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,587,LEMARCHANT-ST. THOMAS ELEMENTARY SCHOOL,1589 WALNUT ST,HALIFAX NS,B3H 3S1,,,,9024216769,9024213036,LMSTS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,353,LESLIE THOMAS JUNIOR HIGH SCHOOL,100 METROPOLITAN AVE,LOWER SACKVILLE NS,B4C 2Z8,,,,9028646785,9028646797,LTJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,968,LOCKVIEW HIGH SCHOOL,148 LOCKVIEW RD,FALL RIVER NS,B2T 1J1,,,,9028606000,9028606005,LHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,939,MADELINE SYMONDS MIDDLE SCHOOL,290 WHITE HILLS RUN,HAMMONDS PLAINS NS,B4B 1W6,,,,9028322300,9028322302,MSMS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,526,MICHAEL WALLACE ELEMENTARY SCHOOL,24 ANDOVER ST,DARTMOUTH NS,B2X 2L9,,,,9024358357,9024358395,MWES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,748,MILLWOOD ELEMENTARY SCHOOL,190 BEAVER BANK CROSS RD,LOWER SACKVILLE NS,B4E 1K5,,,,9028647510,9028647518,MES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,745,MILLWOOD HIGH SCHOOL,141 MILLWOOD DR,MIDDLE SACKVILLE NS,B4E 0A1,,,,9028647535,9028647567,MWHS@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,527,MOUNT EDWARD ELEMENTARY SCHOOL,3 WINDWARD AVE,DARTMOUTH NS,B2W 2G9,,,,9024358459,9024358414,MEES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1149,MUSQUODOBOIT RURAL HIGH SCHOOL,11980 HWY 224,MIDDLE MUSQUODOBOIT NS,B0N 1X0,,,,9023842320,9023842321,MRHS@HRSB.NS.CA
